!Stage,Scenario,Best Integer Solution Found (k$),Best Bound (k$),Relative Gap (%),Time (s),MIP Threads,Heur. Method
1,1,-414492,-414385,   0.02569,327.598,8,1
1,1,-414936,-414897,   0.00939,709.293,8,1
1,1,-415254,-414951,   0.07282,140.446,8,1
1,1,-415457,-415274,   0.04389,128.034,8,1
1,1,-415597,-415545,   0.01244,431.22,8,1
1,1,-416420,-415953,   0.11210,227.611,8,1
1,1,-417595,-416550,   0.25017,137.501,8,1
1,1,-417825,-417763,   0.01485,450.373,8,1
1,1,-418061,-418011,   0.01198,247.266,8,1
1,1,-418661,-418606,   0.01308,297.094,8,1
1,1,-418879,-418842,   0.00894,637.864,8,1
1,1,-419344,-419116,   0.05439,482.577,8,1
1,1,-422008,-420948,   0.25123,612.989,8,1
1,1,-426627,-424967,   0.38919,1767.93,8,1
1,1,-430249,-429165,   0.25195,334.559,8,1
1,1,-433869,-433160,   0.16339,368.482,8,1
1,1,-437258,-436831,   0.09766,274.074,8,1
1,1,-440812,-440016,   0.18063,254.612,8,1
1,1,-452851,-451353,   0.33075,159.842,8,1
1,1,-457087,-456181,   0.19823,300.486,8,1
1,1,-461261,-460234,   0.22267,267.891,8,1
1,1,-464975,-463521,   0.31258,381.89,8,1
1,1,-468798,-467553,   0.26552,250.639,8,1
1,1,-472664,-471911,   0.15937,284.197,8,1
1,1,-487563,-486234,   0.27260,193.655,8,1
1,1,-490939,-490410,   0.10782,230.118,8,1
1,1,-492721,-492268,   0.09181,182.244,8,1
1,1,-494519,-493715,   0.16261,269.301,8,1
1,1,-496318,-495507,   0.16354,141.592,8,1
1,1,-498417,-497626,   0.15876,237.281,8,1
1,1,-504759,-502699,   0.40822,152.637,8,1
1,1,-504759,-504759,   0.00000,21.305,8,1
1,1,-500467,-496408,   0.81100,3661.33,8,1
1,1,-500467,-496408,   0.81100,0.0170002,8,1
